nothing,no verb,being
Stick / thin / narrow,këkobu,Thinning
Arm ,këkobubur,using arms on something
Bone ,këkoburegodar,Adding bones to
Ear ,keobusä,Expression for hearing
Hand ,keoprä,Touching
Bottom/down,këpo,Lowering
Foot ,këpogur,Stepping on
Drink,kerortarsëop,Drinking
Place (endroit),këto,Being somewhere
Close / here,këtogubu,Approaching
With/accompanied of ,këtogugu,Being accompanied or accompagnying
Path ,këtogur,Going to
Where?/somewhere,këtogus,Being lost
Far / Away,kobakëto,Going far
Lost,kobakëtodu,Loosing something
Madness,kobakëtodugusabor,Being crazy
Peace,kobakëtodutregobu,Making peace
Respect,kobakëtogeopra,Respecting or keeping your hands to yourself
Wrong/Fake belief/mistake,kobakëtogospor,Being mistaken
Mate/birth,kobuegaredarkör,Mating
Grown goods,kobuegatrë,Farming
Educator,kobuekaöpo,Educating
Sacred/holy,kobugurttö,Making sacred
Many / numerous / a lot,kobuköpa,Making numerous
Can/able ,kobukör,Can able
Good ,kobukörkada,Making good
New state,kobukörra,becoming
Age,kobukörrarko,Aging
Wolf,kobukrör,Acting like a wolf
Amber/Coal/Ashes/Dry,kobukröt,Drying
Chartreuse green ,kobuktö,Making or being chartreuse
Forest,kobuktöpago,Going in a forest
Hunt,kodurdöter,hunting/gathering
Moon ,kogububurbör,nothing
Large thing,köpa,Enlarging
Alone/Without,köpagogu,Avoiding people / Getting rid of 
Future/Group/Multiple,köpo,Future of to be / Grouping
Sunset,köpoburebogur,Expression for a welcome exit
Elder / ‘chief’,köpodubugurku,Becoming an elder
Male Goblin ,köpodugeobu,Euphemism for males mating
Female Goblin ,köpodugurku,Lay eggs
Who?/someone ,köpodugus,Hiding one’s identity
Goblin/tribe ,köpoduk,Grouping as a tribe
Outsider / Guest,köpodukubagedo,Being invited to
Ancestor,köpodurku,becoming an ancestor euphemism for death
Something made,köpoega,Making 
Why?/for some reason ,köpogugus,Acting for unknown motives or erraticaly 
Result/objective/in order to ,köpogur,Trying to
Strength / Strong,koprëkor,Using strength for something
Moving/going/coming,kör,Moving 
Something that fly,körbago,Flying
Swim ,kördaregosedop,Swimming
Articulation ,körkegopu,articulating
Entrance,korkëtogubagedo,Entering
Follower,korkëtogubu,Coming
Time ,korkö,Waiting
Forever/eternity,korköerkubu,Making last or preserving
Day ,korköpoburbu,Making day
Night ,korkötoder,Doing at night
Exit,körkubagedo,Leaving
Change,körra,Changing
Differnce,körraega,Making different
Surprised,körragosaborkus,Being surprised
Apology,körrarko,Apologising
Unknown,kös,Ignoring
Belief,kosaborkös,Believing
Knowledge,kosäpor,Knowing
Bite mark,krör,Biting
Meal,krördar,Eating 
Fire,kröt,Burning
Orange ,krötepra,Making orange
Plant (green),ktö,Planting
Berry,ktöeka,Eating berries
Alkekengi (amour en cage),ktöekaragerot,Eating alkekengi
Grass ,ktökobu,Planting or adding grass to
Yellow ,ktökobugut,Being or making yellow
Tree ,ktöpago,Going in a tree
Deep green ,ktörkopu,Making into a deep green color
Apple ,ktötagodar,Eating apples
Fruit ,ktötar,Eating fruits
Copper,pagoburegotrë,Adding copper to
Head ,pagodarkör,Putting head in something
Top/up/tall,pakö,Raising
Heart,pobök,Adding hearts to
Sun ,poburbökor,Shining too bright
Light ,poburbör,Shining
Story,pogurkö,Recounting
Talk,pöko,Talking or asking
Magic,pökodu,Casting magic
Attack,popör,Striking / fighting
Sight,pör,Seeing
White ,porakrör,Making or being white
Black ,porakrötegobu,Being or making black 
Flower ,poraktö,Planting or adding flowers
Blue ,pörbago,Being or making blue
Beauty,poregadä,making beautifull
Red ,poregotrë,Making or being red
Color ,prä,Giving color to
Tangible,rä,Feeling
Cold ,rakrör,Making cold
Scary,rakröt,Fearing
Smell,rë,Smelling
Star ,regèdobuburbör,Sparkling
Coal,regobuburkröt,Adding coal to
Argile,regobugeboktö,Making with argile or covering in argile
Heavy ,regobukëpo,Making heavy
Dying ,regoburëkobu,Dying
Baby ,regodarkör,acting like a baby or treating like a baby in context
Seed ,regorkëto,Planting seeds
Meat/muscle ,regotrë,Butcher
Something alive,rëkobu,Breathing or living
Soul,rëkopsud,Giving soul to
Hearing,sä,Hearing
Attention,säpogu,Listening
Envelope/skin,sdä,Envelopping
Fruit Skin ,sdäkedoar,Adding fruit skins
Empty shell / husk,sdäske,Synonim for emptying
Bark ,sdätobago,adding bark to something
Clothes ,sëagobueka,Giving clothes to
Imitation/copy,sëakobuegaobudugus,Imitating/copying
Leather ,sedadarkör,Adding leather to
Blood ,sedopdärko,Making bloody
Cut,sëk,Cutting 
Claw ,sëkegopra,Clawing at
Rain ,seobakö,Raining
Cloud ,seobaköpo,Adding clouds to
Smoke ,seobaköpogerot,Smoking
Tar,seodärboregèrot,Putting tar on
Water,sëop,Adding water to
Juice / Sauce,sëopedar,Juicing
Slime (creature),sëoperègobu,Acting like a slime
Lake ,seopköpa,Putting in a lake
River ,seopkör,Being in a river
Dumb (simple minded),sgëkosabor,Making dumb
Something empty / Hole,skë,Emptying / Digging
One / only,söd,Making unique
Exchange / trade,sodottöter,Exchanging
Rare ,söedso,Making or being rare
Mouth ,sogetrë,Putting in your mouth
Cooked ,taregèdogubukröt,Cooking
Bird ,tarköpago,Acting like a bird
Animal ,tarkör,Acting in a savage way
Human,tarkorbakö,Acting like a human
Sanglier,tarkörbobur,Acting like a sanglier
Spider,tarkörseagobueka,Acting like a spider
Sheep,tarkörsedobagobu,Acting like a sheep
Fish ,tarkösdop,Adding fish to
Sour,tarkrör,Tasting acid
Mark,toderbrä,Marking
Glue,toderègogöpor,Gluing
Safe / Protector,toderkoburëkobu,Protecting
Help / Possession,toderköpo,Helping / Holding / Having / Keeping
Antidote / remedy,toderköporaegaobu,Healing of poison
Enjoyable,todkadä,Making enjoy
Product,todköpoega,being made
Surprised thing,todkörragosaborkus,being surprised
Prey,todkrördar,being eaten
Newborn,todkupuegaredarkör,being born
Desiring / wanting,tödoer,Desiring or wanting
Inside/inside of /inhabit,todök,Synonim of entering
Presentation,todpör,Showing
Protected thing,toduderkoburëkobu,being protected
Danger / worrying,todutrëd,Endangering or causing worries
Divisive,toduttödod,Dividing
All,tökobu,Making whole
Everyone,tökopuduk,Sharing with everyone
Act of taking,tordöter,Taking
Lesson,tosedorerksäpor,Learning
Gift,töter,Giving handing
Rescue,totërkobu,Rescuing
Warn ,totrdë,Warning
Advice,totrdëkobu,Giving advice
Replace,tötredor,Replacing
Murder,totrëkobu,Killing
Unwilling or forced / War,totrëkobugubu,Forcing / Waging war
Source / because,tötresèop,Producing
Stop / finish,totrköpo,Stopping
Divided,tottödod,Being Divided
Hated,totutrëkopu,Hating
Food,trë,Turning into food
